label,value,r,g,b,url
masonic,19,0,0,0,key_htmls/masonic.html
esoteric,16,133,0,150,key_htmls/esoteric.html
hermetic,15,0,0,201,key_htmls/hermetic.html
mithraic,9,0,133,221,key_htmls/mithraic.html
tarot,2,0,170,160,key_htmls/tarot.html
alchemic,2,0,156,0,key_htmls/alchemic.html
cabala,1,0,218,0,key_htmls/cabala.html
christian,1,132,255,0,key_htmls/christian.html
fiction,1,248,218,0,key_htmls/fiction.html
historical,1,255,93,0,key_htmls/historical.html
hinduism,1,218,0,0,key_htmls/hinduism.html
islam,1,204,204,204,key_htmls/islam.html
